CRED_APR,RISC_ATUAL,PAGO_DIA,PAGO_ATR,VOL_OPER,VOL_OPER_MED,QTD_TITU_OPER,VOL_TOT_OPER,RECOMP,TICK_MED_CED,L1,L2,L3,L4,L5,VALO_TITU_ORIG,VALO_ABER,VALO_LIQU_CEDE,VALO_LIQU,TICK_MED_SACA,VOL_NEG,REL_TITU_TICK,REL_TITU_LIM,REJEITADO,label
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,98.2746,1.7253,0,0,0,606.78,3477.06,34398.30,72062.49,880.9418,9690.36,104.7953,0.0202,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,98.2746,1.7253,0,0,0,606.78,3477.06,34398.30,72062.49,880.9418,9690.36,104.7953,0.0202,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,100,0,0,0,0,234.82,0.00,10442.14,14161.09,205.48,2260.28,40.5551,0.0078,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,100,0,0,0,0,296.05,0.00,18337.15,24827.20,238.4831,5246.63,51.1299,0.0098,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,100,0,0,0,0,296.05,0.00,18337.15,24827.20,238.4831,5246.63,51.1299,0.0098,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,95.1144,4.8855,0,1.36,0,307.71,3931.15,92794.45,166852.10,479.9706,45597.21,53.1437,0.0102,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,95.1144,4.8855,0,1.36,0,307.71,3931.15,92794.45,166852.10,479.9706,45597.21,53.1437,0.0102,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,95.1144,4.8855,0,1.36,0,307.71,3931.15,92794.45,166852.10,479.9706,45597.21,53.1437,0.0102,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,100,0,0,0,0,354.14,231.52,2771.76,3220.46,352.5788,3173.21,61.1625,0.0118,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,83.9084,16.0915,0,0,0,201.17,0.00,3378.41,10700.70,287.9392,7198.48,34.7435,0.0067,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,83.9084,16.0915,0,0,0,201.17,0.00,3378.41,10700.70,287.9392,7198.48,34.7435,0.0067,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,98.4395,1.5604,0,1.5604,0,1812.10,0.00,46251.00,72033.33,1517.7525,18213.03,312.9628,0.0604,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,98.4395,1.5604,0,1.5604,0,1812.11,0.00,46251.00,72033.33,1517.7525,18213.03,312.9645,0.0604,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,61.9305,38.0694,0,0,0,87.30,0.00,8287.36,11789.52,635.0662,5080.53,15.0773,0.0029,0,0
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,96.8964,3.1035,0,0,0,302.72,1167.47,11033.75,18411.44,421.1008,5053.21,52.2819,0.01,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,96.8964,3.1035,0,0,0,302.73,1167.47,11033.75,18411.44,421.1008,5053.21,52.2836,0.01,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,66.6668,33.3331,0,0,0,471.96,0.00,3037.30,5164.80,402.1555,3619.40,81.5109,0.0157,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,66.6668,33.3331,0,0,0,471.96,0.00,3037.30,5164.80,402.1555,3619.40,81.5109,0.0157,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,66.6668,33.3331,0,0,0,471.96,0.00,3037.30,5164.80,402.1555,3619.40,81.5109,0.0157,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,66.6668,33.3331,0,0,0,471.97,0.00,3037.30,5164.80,402.1555,3619.40,81.5126,0.0157,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,53.0471,46.9528,0,1.6227,1.6227,409.95,307.00,29114.48,44978.47,320.438,6408.76,70.8013,0.0136,1,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,100,0,0,0,0,579.10,0.00,9124.36,13087.85,644.55,1933.65,100.0147,0.0193,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,98.6569,1.343,0,0,0,960.02,1330.68,11793.90,28374.29,593.1477,16014.99,165.8024,0.032,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,98.6569,1.343,0,0,0,960.02,1330.68,11793.90,28374.29,593.1477,16014.99,165.8024,0.032,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,98.6569,1.343,0,0,0,960.03,1330.68,11793.90,28374.29,593.1477,16014.99,165.8041,0.032,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,100,0,0,0,0,942.93,1051.94,8908.08,20130.85,608.0945,13378.08,162.8508,0.0314,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,17.2085,82.7914,0,0,0,323.77,0.00,2565.10,3321.61,279.0883,3349.06,55.9174,0.0107,0,1
